Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,25938000,3,88.68,41.0,18.22,3.6,12,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Студия,6630000,0,32.0,19.2,,,23,24,Кирпично-Монолитный,Невский,Рыбацкое,4.2
Студия,5900000,0,25.6,20.0,4.0,2.7,11,13,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,14999000,2,65.3,24.2,19.9,2.64,7,27,Индивидуальный,Московский,,
Квартира,7500000,1,38.5,20.0,10.1,,12,12,137 серия,Красносельский,Ленинский  проспект,3.5
Квартира,14000000,3,80.3,56.4,9.4,3.0,2,4,Сталинский,Московский,Московская,2.4
Квартира,6380000,2,42.1,16.2,14.3,2.87,3,4,Кирпично-Монолитный,Пушкинский,Купчино,8.6
Квартира,9500000,2,59.2,26.7,16.9,2.6,14,17,Индивидуальный,Всеволожский,,
Студия,6756000,0,23.3,17.0,,2.5,20,26,Монолит,Московский,Московская,1.2
Квартира,19000000,2,78.2,30.6,23.7,3.25,11,11,Индивидуальный,Выборгский,,
